_id,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,siteID,spaceID,stationID,userID,duracion_horas
5e3cbdbdf9af8b0661a41311,2020-01-21 18:08:11+00:00,2020-01-22 02:00:41+00:00,2020-01-22 01:43:44+00:00,50.717,0002,CA-497,2-39-95-444,000002743,7.875
5e3cbdbdf9af8b0661a41312,2020-01-21 18:09:14+00:00,2020-01-21 20:33:47+00:00,2020-01-21 20:33:43+00:00,6.763,0002,CA-502,2-39-88-438,000000562,2.4091666666666667
5e3cbdbdf9af8b0661a41313,2020-01-21 18:09:52+00:00,2020-01-22 00:52:41+00:00,2020-01-21 20:33:22+00:00,3.878,0002,CA-489,2-39-79-380,000003389,6.713611111111111
5e3cbdbdf9af8b0661a41314,2020-01-21 18:18:08+00:00,2020-01-22 01:55:08+00:00,2020-01-21 20:03:16+00:00,10.486,0002,CA-499,2-39-91-441,000000069,7.616666666666666
5e3cbdbdf9af8b0661a41315,2020-01-21 18:25:45+00:00,2020-01-21 19:41:25+00:00,2020-01-21 19:41:20+00:00,8.213,0002,CA-309,2-39-127-19,000001912,1.261111111111111
5e3cbdbdf9af8b0661a41316,2020-01-21 18:48:19+00:00,2020-01-21 23:04:28+00:00,2020-01-21 22:55:04+00:00,26.408,0002,CA-316,2-39-90-26,000002961,4.269166666666667
5e3cbdbdf9af8b0661a41317,2020-01-21 19:19:37+00:00,2020-01-22 01:23:44+00:00,2020-01-22 00:34:05+00:00,0.877,0002,CA-314,2-39-88-24,,6.068611111111111
5e3cbdbdf9af8b0661a41318,2020-01-21 19:28:42+00:00,2020-01-22 03:21:16+00:00,2020-01-21 22:34:22+00:00,12.666,0002,CA-308,2-39-128-18,000000958,7.876111111111111
5e3cbdbdf9af8b0661a41319,2020-01-21 19:36:20+00:00,2020-01-22 02:12:39+00:00,2020-01-21 21:56:57+00:00,5.853,0002,CA-310,2-39-126-20,000000891,6.605277777777777
5e3cbdbdf9af8b0661a4131a,2020-01-21 19:58:24+00:00,2020-01-22 00:48:42+00:00,2020-01-21 22:37:28+00:00,17.918,0002,CA-306,2-39-130-31,000003270,4.838333333333333
